TRAVEL_ID,recommend_result_place
d_d000630,"['이중섭미술관', '남원큰엉해변', '천제연폭포', '서귀포매일올레시장', '제주관광공사 지정면세점', '이중섭거리', '올레야시장', '휴애리자연생활공원', '액트몬 제주중문점', '중문대포주상절리대']"
d_d007630,"['함덕해수욕장', '에코랜드테마파크', '걸어가는늑대들 전이수갤러리', '거문오름', '제주돌문화공원', '삼성혈', '제주 세계자연유산센터', '제주동문재래시장', '제주조천스위스마을', '제주동문시장']"
d_d005917,
d_d009419,"['성산일출봉', '섭지코지', '아쿠아플라넷 제주', '드르쿰다in성산', '휘닉스제주 유민미술관', '김영갑갤러리두모악', '신양섭지해수욕장']"
d_d002220,"['함덕해수욕장', '걸어가는늑대들 전이수갤러리', '에코랜드테마파크', '거문오름', '제주돌문화공원', '교래자연휴양림', '제주조천스위스마을', '제주 세계자연유산센터', '선녀와나무꾼 테마공원', '제주레포츠랜드']"
d_d000564,"['협재해수욕장', '금능해수욕장', '한림공원', '제주도립김창열미술관', '서부농업기술센터', '성이시돌목장', '그리스신화박물관']"
d_d004418,"['아르떼뮤지엄 제주', '9.81파크', '해변산책', '한담몰', '귤귤스토어', '항파두리 항몽유적지', '사진놀이터', '제주불빛정원', '렛츠런파크제주']"
d_d002895,"['한라산아래첫마을', '포도뮤지엄', '산방산탄산온천', '본태박물관', '카멜리아힐', '신화관 제주신화월드 스카이풀', '상효원수목원', '신화테마파크', '무민랜드제주', '피규어뮤지엄제주']"
d_d003471,"['아쿠아플라넷 제주', '성산일출봉', '섭지코지', '드르쿰다in성산', '휘닉스제주 유민미술관', '김영갑갤러리두모악', '신양섭지해수욕장']"
d_d002015,"['포도뮤지엄', '산방산탄산온천', '한라산아래첫마을', '카멜리아힐', '휴애리자연생활공원', '신화관 제주신화월드 스카이풀', '화순금모래해수욕장', '본태박물관', '마노르블랑', '올레야시장']"
d_d005520,"['서귀포매일올레시장', '올레야시장', '이중섭미술관', '이중섭거리', '홈플러스 서귀포점', '자구리문화예술공원', '서복전시관']"
d_d012399,"['아쿠아플라넷 제주', '성산일출봉', '섭지코지', '드르쿰다in성산', '김영갑갤러리두모악', '휘닉스제주 유민미술관', '신양섭지해수욕장']"
d_d012341,"['9.81파크', '수목원테마파크', '이마트 제주점', '관덕정', '렛츠런파크제주', '제주목 관아', '항파두리 항몽유적지', '한담몰', '한라수목원', '해변산책']"
d_d009002,"['한라산아래첫마을', '본태박물관', '포도뮤지엄', '무민랜드제주', '산방산탄산온천', '뽀로로앤타요테마파크 제주', '화순금모래해수욕장', '신화관 제주신화월드 스카이풀', '카멜리아힐', '제주아트서커스']"
d_d004874,"['제주곶자왈도립공원', '마라도', '올레야시장', '서귀포매일올레시장', '이중섭미술관', '자구리문화예술공원', '이중섭거리', '서복전시관']"
d_d002428,"['올레야시장', '서귀포매일올레시장', '제주동문시장', '이중섭미술관', '자구리문화예술공원', '이중섭거리', '서복전시관']"
d_d002359,['바이제주']
d_d005424,"['제주제트 중문점', '천제연폭포', 'ICC제주국제컨벤션센터', '중문대포주상절리대', '거린사슴 전망대', '아프리카박물관', '제주관광공사 지정면세점', '약천사', '액트몬 제주중문점']"
d_d004363,"['포도뮤지엄', '카멜리아힐', '피규어뮤지엄제주', '세계자동차&피아노박물관', '한라산아래첫마을', '산방산탄산온천', '방주교회', '제주아트서커스', '신화관 제주신화월드 스카이풀', '무민랜드제주']"
d_d001275,"['9.81파크', '해변산책', '제주동문재래야시장', '제주동문재래시장', '아르떼뮤지엄 제주', '한담몰', '삼성혈', '항파두리 항몽유적지', '제주불빛정원', '귤귤스토어']"
d_d000956,"['올레야시장', 'ICC제주국제컨벤션센터', '천제연폭포', '이중섭미술관', '중문대포주상절리대', '서귀포매일올레시장', '자구리문화예술공원', '제주관광공사 지정면세점', '액트몬 제주중문점', '이중섭거리']"
d_d000484,"['한라산아래첫마을', '포도뮤지엄', '산방산탄산온천', '본태박물관', '신화관 제주신화월드 스카이풀', '화순금모래해수욕장', '파더스가든', '무민랜드제주', '피규어뮤지엄제주', '마노르블랑']"
d_d004211,"['한라산아래첫마을', '포도뮤지엄', '본태박물관', '세계자동차&피아노박물관', '카멜리아힐', '제주아트서커스', '파더스가든', '제주항공우주박물관', '신화관 제주신화월드 스카이풀', '산방산탄산온천']"
d_d004738,"['김녕해수욕장', '세화해변', '우도올레보트', '스누피가든', '비자림', '훈데르트바서파크', '대한불교조계종천왕사', '검멀레해변', '롯데마트 제주점', '해녀박물관']"
d_d007782,"['마라도', '제주곶자왈도립공원']"
d_d007799,"['협재해수욕장', '함덕해수욕장', '9.81파크', '걸어가는늑대들 전이수갤러리', '에코랜드테마파크', '제주돌문화공원', '금능해수욕장', '천제연폭포', '거문오름', '한림공원']"
d_d006122,"['거문오름', '에코랜드테마파크', '스누피가든', '세화해변', '비자림', '제주돌문화공원', '스카이워터쇼', '함덕해수욕장', '김녕해수욕장', '걸어가는늑대들 전이수갤러리']"
d_d007019,"['한라산아래첫마을', '포도뮤지엄', '산방산탄산온천', '카멜리아힐', '신화관 제주신화월드 스카이풀', '파더스가든', '본태박물관', '세계자동차&피아노박물관', '무민랜드제주', '루나폴']"
d_d001340,"['스누피가든', '함덕해수욕장', '아쿠아플라넷 제주', '김녕해수욕장', '드르쿰다in성산', '세화해변', '성산일출봉', '섭지코지', '비자림', '걸어가는늑대들 전이수갤러리']"
d_d000878,"['한라산아래첫마을', '스누피가든', '무민랜드제주', '산방산탄산온천', '비자림', '김녕해수욕장', '카멜리아힐', '본태박물관', '협재해수욕장', '신화관 제주신화월드 스카이풀']"
d_d005992,"['아쿠아플라넷 제주', '성산일출봉', '섭지코지', '드르쿰다in성산', '김영갑갤러리두모악', '휘닉스제주 유민미술관', '신양섭지해수욕장']"
d_d001304,"['스누피가든', '김녕해수욕장', '세화해변', '비자림', '세화민속오일시장', '이마트 신제주점', '김녕미로공원', '해녀박물관', '스카이워터쇼', '만장굴']"
d_d005117,"['상효원수목원', '원앙폭포', '돈내코유원지']"
d_d010447,"['한라산아래첫마을', '산방산탄산온천', '화순금모래해수욕장', '본태박물관', '9.81파크', '포도뮤지엄', '신화관 제주신화월드 스카이풀', '협재해수욕장', '금능해수욕장', '한림공원']"
d_d004391,"['포도뮤지엄', '한라산아래첫마을', '본태박물관', '마노르블랑', '화순금모래해수욕장', '산방산탄산온천', '파더스가든', '오설록티뮤지엄', '신화관 제주신화월드 스카이풀', '피규어뮤지엄제주']"
d_d002450,"['함덕해수욕장', '아쿠아플라넷 제주', '성산일출봉', '걸어가는늑대들 전이수갤러리', '섭지코지', '협재해수욕장', '금능해수욕장', '한림공원', '쇠소깍', '드르쿰다in성산']"
d_d012470,"['한라산아래첫마을', '포도뮤지엄', '산방산탄산온천', '본태박물관', '화순금모래해수욕장', '뽀로로앤타요테마파크 제주', '제주항공우주박물관', '신화관 제주신화월드 스카이풀', '무민랜드제주', '카멜리아힐']"
d_d001904,"['우도올레보트', '우도산호해변', '천제연폭포', 'ICC제주국제컨벤션센터', '검멀레해변', '중문대포주상절리대', '제주관광공사 지정면세점', '액트몬 제주중문점', '훈데르트바서파크']"
d_d003504,"['스누피가든', '김녕해수욕장', '비자림', '세화해변', '김녕미로공원', '삼성혈', '제주동문재래야시장', '세화민속오일시장', '이마트 신제주점', '스카이워터쇼']"
d_d010178,"['제주제트 중문점', '거린사슴 전망대', '약천사', '아프리카박물관', '테디베어뮤지엄 제주점', '여미지식물원']"
d_d001861,"['해변산책', '제주현대미술관', '9.81파크', '이중섭미술관', '올레야시장', '아르떼뮤지엄 제주', '서귀포매일올레시장', '한담몰', '항파두리 항몽유적지', '사진놀이터']"
d_d000291,
d_d008119,['쇠소깍']
d_d000441,"['아쿠아플라넷 제주', '성산일출봉', '섭지코지', '드르쿰다in성산', '휘닉스제주 유민미술관', '김영갑갤러리두모악', '이마트 제주점', '신양섭지해수욕장', '제주목 관아', '관덕정']"
d_d001987,"['우도올레보트', '천제연폭포', '성산일출봉', '아쿠아플라넷 제주', '섭지코지', '드르쿰다in성산', '휘닉스제주 유민미술관', '훈데르트바서파크', '우도산호해변', '김영갑갤러리두모악']"
d_d001558,"['협재해수욕장', '성산일출봉', '섭지코지', '금능해수욕장', '올레야시장', '제주곶자왈도립공원', '서귀포매일올레시장', '드르쿰다in성산', '한림공원', '마라도']"
d_d004040,"['제주제트 중문점', '천제연폭포', 'ICC제주국제컨벤션센터', '거린사슴 전망대', '중문대포주상절리대', '액트몬 제주중문점', '제주관광공사 지정면세점', '아프리카박물관', '약천사']"
d_d005548,"['한라산아래첫마을', '포도뮤지엄', '산방산탄산온천', '카멜리아힐', '화순금모래해수욕장', '신화관 제주신화월드 스카이풀', '무민랜드제주', '파더스가든', '본태박물관', '루나폴']"
d_d010531,"['우도올레보트', '우도산호해변', '검멀레해변', '훈데르트바서파크']"
d_d002588,"['아쿠아플라넷 제주', '성산일출봉', '섭지코지', '드르쿰다in성산', '서귀포매일올레시장', '올레야시장', '김영갑갤러리두모악', '이중섭미술관', '휘닉스제주 유민미술관', '제주동문재래시장']"
d_d012347,"['협재해수욕장', '금능해수욕장', '제주도립김창열미술관', '한림공원', '성이시돌목장', '서부농업기술센터', '그리스신화박물관']"
d_d007182,['서귀포치유의숲']
d_d000185,"['한라산아래첫마을', '산방산탄산온천', '본태박물관', '포도뮤지엄', '화순금모래해수욕장', '신화관 제주신화월드 스카이풀', '카멜리아힐', '세계자동차&피아노박물관', '마노르블랑', '피규어뮤지엄제주']"
d_d009007,"['천제연폭포', '올레야시장', '홈플러스 서귀포점', 'ICC제주국제컨벤션센터', '이중섭미술관', '이중섭거리', '액트몬 제주중문점', '중문대포주상절리대', '서귀포매일올레시장', '자구리문화예술공원']"
d_d001406,"['수목원테마파크', '올레야시장', '이중섭미술관', '서귀포매일올레시장', '한라수목원', '이중섭거리', '홈플러스 서귀포점', '자구리문화예술공원', '서복전시관']"
d_d009380,"['올레야시장', '이중섭거리', '이중섭미술관', '서귀포매일올레시장', '테디베어뮤지엄 제주점', '자구리문화예술공원', '여미지식물원', '서복전시관']"
d_d006783,"['표선해수욕장', '제주민속촌', '목장카페 밭디', '붉은오름자연휴양림', '유채꽃프라자', '제주허브동산', '제주성읍마을', '보롬왓']"
d_d009886,"['제주동문재래시장', '제주동문재래야시장', '삼성혈']"
d_d009464,"['포도뮤지엄', '걸어가는늑대들 전이수갤러리', '협재해수욕장', '스누피가든', '함덕해수욕장', '한라산아래첫마을', '산방산탄산온천', '금능해수욕장', '신화관 제주신화월드 스카이풀', '김녕해수욕장']"
d_d002972,"['금능해수욕장', '협재해수욕장', '한림공원', '서부농업기술센터', '성이시돌목장', '제주도립김창열미술관', '그리스신화박물관']"
d_d001144,"['산방산탄산온천', '한라산아래첫마을', '화순금모래해수욕장', '포도뮤지엄', '무민랜드제주', '신화관 제주신화월드 스카이풀', '올레야시장', '본태박물관', '카멜리아힐', '신화워터파크']"
d_d011481,"['우도올레보트', '우도산호해변', '검멀레해변', '훈데르트바서파크', '제주동문시장']"
d_d000334,"['스누피가든', '김녕해수욕장', '비자림', '세화해변', '원앙폭포', '돈내코유원지', '김녕미로공원', '제주동문시장', '세화민속오일시장', '이마트 신제주점']"
d_d002412,"['스누피가든', '비자림', '김녕해수욕장', '세화해변', '올레야시장', '스카이워터쇼', '이중섭미술관', '김녕미로공원', '세화민속오일시장', '서귀포치유의숲']"
d_d009543,"['포도뮤지엄', '한라산아래첫마을', '본태박물관', '신화관 제주신화월드 스카이풀', '피규어뮤지엄제주', '산방산탄산온천', '제주항공우주박물관', '카멜리아힐', '제주아트서커스', '세계자동차&피아노박물관']"
d_d002447,"['협재해수욕장', '금능해수욕장', '한림공원', '제주동문시장', '제주도립김창열미술관', '성이시돌목장', '서부농업기술센터', '국립제주박물관', '그리스신화박물관', '사라봉공원']"
d_d009677,"['올레야시장', '이중섭미술관', '서귀포매일올레시장', '자구리문화예술공원', '이중섭거리', '서복전시관']"
d_d002317,"['한라산아래첫마을', '스누피가든', '본태박물관', '김녕해수욕장', '비자림', '화순금모래해수욕장', '세화해변', '삼성혈', '포도뮤지엄', '산방산탄산온천']"
d_d005188,"['한라산아래첫마을', '산방산탄산온천', '포도뮤지엄', '본태박물관', '신화관 제주신화월드 스카이풀', '천제연폭포', '카멜리아힐', '무민랜드제주', '피규어뮤지엄제주', '화순금모래해수욕장']"
d_d010056,"['아쿠아플라넷 제주', '드르쿰다in성산', '성산일출봉', '섭지코지', '휘닉스제주 유민미술관', '윈드1947카트테마파크', '김영갑갤러리두모악', '이중섭미술관', '서귀포매일올레시장', '올레야시장']"
d_d009016,"['스누피가든', '비자림', '김녕해수욕장', '세화해변', '김녕미로공원', '스카이워터쇼', '올레야시장', '서귀포매일올레시장', '세화민속오일시장', '메이즈랜드']"
d_d011890,"['아쿠아플라넷 제주', '성산일출봉', '섭지코지', '드르쿰다in성산', '휘닉스제주 유민미술관', '김영갑갤러리두모악', '신양섭지해수욕장']"
d_d000415,"['서귀포매일올레시장', '이중섭미술관', '올레야시장', '자구리문화예술공원', '이중섭거리', '서복전시관']"
d_d007636,"['한라산아래첫마을', '포도뮤지엄', '서귀포예술의전당', '본태박물관', '피규어뮤지엄제주', '기당미술관', '세계자동차&피아노박물관', '방주교회', '화순금모래해수욕장', '제주항공우주박물관']"
d_d006672,"['한라산아래첫마을', '본태박물관', '포도뮤지엄', '화순금모래해수욕장', '산방산탄산온천', '협재해수욕장', '금능해수욕장', '신화관 제주신화월드 스카이풀', '뽀로로앤타요테마파크 제주', '제주도립김창열미술관']"
d_d000308,"['한라산아래첫마을', '포도뮤지엄', '산방산탄산온천', '금능해수욕장', '협재해수욕장', '신화관 제주신화월드 스카이풀', '한림공원', '루나폴', '무민랜드제주', '카멜리아힐']"
d_d001908,"['협재해수욕장', '한림공원', '금능해수욕장', '제주동문재래시장', '삼성혈', '성이시돌목장', '제주동문재래야시장', '제주도립김창열미술관', '서부농업기술센터', '그리스신화박물관']"
d_d002611,"['천제연폭포', '액트몬 제주중문점', 'ICC제주국제컨벤션센터', '중문대포주상절리대', '제주동문시장', '제주관광공사 지정면세점']"
d_d012400,"['한라산아래첫마을', '제주제트 중문점', '포도뮤지엄', '화순금모래해수욕장', '본태박물관', '산방산탄산온천', '신화관 제주신화월드 스카이풀', '피규어뮤지엄제주', '뽀로로앤타요테마파크 제주', '세계자동차&피아노박물관']"
d_d001046,"['제주동문재래야시장', '제주동문재래시장', '여미지식물원', '테디베어뮤지엄 제주점', '삼성혈']"
d_d001625,"['협재해수욕장', '서귀포매일올레시장', '금능해수욕장', '올레야시장', '한림공원', '이중섭미술관', '성이시돌목장', '자구리문화예술공원', '제주도립김창열미술관', '관음사']"
d_d000524,"['9.81파크', '협재해수욕장', '금능해수욕장', '한림공원', '아르떼뮤지엄 제주', '렛츠런파크제주', '해변산책', '항파두리 항몽유적지', '성이시돌목장', '한담몰']"
d_d000116,"['제주동문재래시장', '수목원테마파크', '여미지식물원', '테디베어뮤지엄 제주점', '한라수목원', '삼성혈', '제주동문재래야시장']"
d_d007947,"['한라산아래첫마을', '포도뮤지엄', '산방산탄산온천', '본태박물관', '화순금모래해수욕장', '신화관 제주신화월드 스카이풀', '목장카페 밭디', '붉은오름자연휴양림', '유채꽃프라자', '무민랜드제주']"
d_d001416,"['포도뮤지엄', '제주시민속오일시장', '함덕해수욕장', '한라산아래첫마을', '걸어가는늑대들 전이수갤러리', '거문오름', '산방산탄산온천', '파더스가든', '제주돌문화공원', '제주레포츠랜드']"
d_d010576,"['우도올레보트', '스누피가든', '비자림', '세화해변', '김녕해수욕장', '우도산호해변', '김녕미로공원', '검멀레해변', '스카이워터쇼', '세화민속오일시장']"
d_d003925,"['한라산아래첫마을', '포도뮤지엄', '성산일출봉', '본태박물관', '섭지코지', '아쿠아플라넷 제주', '화순금모래해수욕장', '신화관 제주신화월드 스카이풀', '산방산탄산온천', '김영갑갤러리두모악']"
d_d004431,"['한라산아래첫마을', '포도뮤지엄', '산방산탄산온천', '본태박물관', '신화관 제주신화월드 스카이풀', '피규어뮤지엄제주', '마노르블랑', '카멜리아힐', '오설록티뮤지엄', '신화테마파크']"
d_d006267,['제주동문시장']
d_d000172,"['함덕해수욕장', '걸어가는늑대들 전이수갤러리', '거문오름', '에코랜드테마파크', '제주돌문화공원', '교래자연휴양림', '제주 세계자연유산센터', '제주레포츠랜드', '제주조천스위스마을', '선녀와나무꾼 테마공원']"
d_d005567,"['함덕해수욕장', '걸어가는늑대들 전이수갤러리', '에코랜드테마파크', '거문오름', '제주 세계자연유산센터', '제주돌문화공원', '제주조천스위스마을', '교래자연휴양림', '제주레포츠랜드', '선녀와나무꾼 테마공원']"
d_d000054,"['아쿠아플라넷 제주', '성산일출봉', '드르쿰다in성산', '섭지코지', '이중섭미술관', '올레야시장', '휘닉스제주 유민미술관', '김영갑갤러리두모악', '서귀포매일올레시장', '신양섭지해수욕장']"
d_d006946,"['한라산아래첫마을', '포도뮤지엄', '화순금모래해수욕장', '산방산탄산온천', '제주현대미술관', '신화관 제주신화월드 스카이풀', '본태박물관', '마노르블랑', '환상숲곶자왈공원', '뽀로로앤타요테마파크 제주']"
d_d005089,"['한라산아래첫마을', '포도뮤지엄', '본태박물관', '화순금모래해수욕장', '산방산탄산온천', '세계자동차&피아노박물관', '무민랜드제주', '파더스가든', '루나폴', '신세계사이먼 제주프리미엄전문점']"
d_d003100,"['스누피가든', '세화해변', '김녕해수욕장', '비자림', '스카이워터쇼', '아르떼뮤지엄 제주', '9.81파크', '해변산책', '김녕미로공원', '만장굴']"
d_d004710,"['한라산아래첫마을', '산방산탄산온천', '포도뮤지엄', '신화관 제주신화월드 스카이풀', '카멜리아힐', '무민랜드제주', '화순금모래해수욕장', '루나폴', '피규어뮤지엄제주', '파더스가든']"
d_d004872,"['걸어가는늑대들 전이수갤러리', '함덕해수욕장', '거문오름', '에코랜드테마파크', '제주돌문화공원', '제주조천스위스마을', '제주 세계자연유산센터', '교래자연휴양림', '제주레포츠랜드', '제주라프']"
d_d004626,"['걸어가는늑대들 전이수갤러리', '세화해변', '함덕해수욕장', '김녕해수욕장', '비자림', '스누피가든', '거문오름', '제주돌문화공원', '제주 세계자연유산센터', '교래자연휴양림']"
d_d008066,"['협재해수욕장', '금능해수욕장', '성이시돌목장', '한림공원', '제주도립김창열미술관', '서부농업기술센터', '그리스신화박물관']"
d_d009075,"['천제연폭포', '중문대포주상절리대', '액트몬 제주중문점', '제주관광공사 지정면세점', 'ICC제주국제컨벤션센터']"
d_d012349,"['마라도', '제주곶자왈도립공원']"
d_d000487,"['9.81파크', '천제연폭포', '아르떼뮤지엄 제주', '올레야시장', 'ICC제주국제컨벤션센터', '렛츠런파크제주', '제주월드컵경기장', '해변산책', '중문대포주상절리대', '액트몬 제주중문점']"
d_d003715,"['제주동문재래시장', '제주동문재래야시장', '삼성혈']"
d_d006028,"['서귀포매일올레시장', '올레야시장', '제주월드컵경기장', '이중섭미술관', '자구리문화예술공원', '이중섭거리', '이마트 서귀포점', '서복전시관']"
d_d005129,"['이중섭미술관', '올레야시장', '서귀포매일올레시장', '이중섭거리', '자구리문화예술공원', '서복전시관']"
d_d010257,"['한라산아래첫마을', '포도뮤지엄', '뽀로로앤타요테마파크 제주', '화순금모래해수욕장', '산방산탄산온천', '신화관 제주신화월드 스카이풀', '본태박물관', '무민랜드제주', '제주항공우주박물관', '세계자동차&피아노박물관']"
d_d003454,"['제주곶자왈도립공원', '마라도']"
d_d005347,"['한라산아래첫마을', '본태박물관', '포도뮤지엄', '산방산탄산온천', '카멜리아힐', '화순금모래해수욕장', '세계자동차&피아노박물관', '신화관 제주신화월드 스카이풀', '피규어뮤지엄제주', '제주항공우주박물관']"
d_d012261,"['스누피가든', '함덕해수욕장', '김녕해수욕장', '세화해변', '걸어가는늑대들 전이수갤러리', '거문오름', '에코랜드테마파크', '비자림', '제주돌문화공원', '스카이워터쇼']"
d_d009149,"['9.81파크', '해변산책', '아르떼뮤지엄 제주', '항파두리 항몽유적지', '렛츠런파크제주', '한담몰', '사진놀이터', '제주불빛정원', '귤귤스토어']"
d_d010245,"['우도올레보트', '유채꽃프라자', '9.81파크', '에코랜드테마파크', '아쿠아플라넷 제주', '목장카페 밭디', '거문오름', '휴애리자연생활공원', '성산일출봉', '함덕해수욕장']"
d_d003049,"['스누피가든', '드르쿰다in성산', '함덕해수욕장', '아쿠아플라넷 제주', '비자림', '성산일출봉', '세화해변', '김녕해수욕장', '걸어가는늑대들 전이수갤러리', '9.81파크']"
d_d003785,"['걸어가는늑대들 전이수갤러리', '거문오름', '함덕해수욕장', '에코랜드테마파크', '제주돌문화공원', '제주 세계자연유산센터', '제주조천스위스마을', '교래자연휴양림', '제주레포츠랜드', '홈플러스 서귀포점']"
d_d007774,"['올레야시장', '이중섭미술관', '제주동문재래야시장', '삼성혈', '제주동문재래시장', '휴애리자연생활공원', '남원큰엉해변', '서귀포매일올레시장', '자구리문화예술공원', '이중섭거리']"
d_d003442,"['걸어가는늑대들 전이수갤러리', '함덕해수욕장', '에코랜드테마파크', '거문오름', '이마트 제주점', '제주돌문화공원', '제주 세계자연유산센터', '관덕정', '교래자연휴양림', '제주목 관아']"
d_d009051,"['9.81파크', '제주동문재래시장', '해변산책', '아르떼뮤지엄 제주', '렛츠런파크제주', '제주동문재래야시장', '삼성혈', '항파두리 항몽유적지', '한담몰', '사진놀이터']"
d_d002948,"['포도뮤지엄', '산방산탄산온천', '한라산아래첫마을', '아르떼뮤지엄 제주', '협재해수욕장', '본태박물관', '제주동문시장', '서귀포매일올레시장', '금능해수욕장', '올레야시장']"
d_d004284,"['아쿠아플라넷 제주', '성산일출봉', '드르쿰다in성산', '섭지코지', '김영갑갤러리두모악', '휘닉스제주 유민미술관', '신양섭지해수욕장']"
a_a011544,"['한라산아래첫마을', '산방산탄산온천', '포도뮤지엄', '화순금모래해수욕장', '협재해수욕장', '뽀로로앤타요테마파크 제주', '금능해수욕장', '카멜리아힐', '무민랜드제주', '신화관 제주신화월드 스카이풀']"
d_d011354,"['한라산아래첫마을', '포도뮤지엄', '붉은오름자연휴양림', '산방산탄산온천', '화순금모래해수욕장', '본태박물관', '신화관 제주신화월드 스카이풀', '표선해수욕장', '무민랜드제주', '제주허브동산']"
d_d000699,"['성산일출봉', '9.81파크', '섭지코지', '아쿠아플라넷 제주', '제주동문시장', '렛츠런파크제주', '아르떼뮤지엄 제주', '귤귤스토어', '드르쿰다in성산', '해변산책']"
d_d000049,"['제주제트 중문점', '함덕해수욕장', '김녕해수욕장', '세화해변', '걸어가는늑대들 전이수갤러리', '비자림', '스누피가든', '거문오름', '제주 세계자연유산센터', '휴애리자연생활공원']"
d_d002785,['노형수퍼마켙']
d_d004735,"['목장카페 밭디', '붉은오름자연휴양림', '제주허브동산', '표선해수욕장', '유채꽃프라자', '제주민속촌', '보롬왓', '제주성읍마을']"
d_d004915,"['비자림', '김녕해수욕장', '세화해변', '스누피가든', '김녕미로공원', '서귀포매일올레시장', '스카이워터쇼', '이중섭미술관', '올레야시장', '세화민속오일시장']"
d_d000046,"['성산일출봉', '교래자연휴양림', '걸어가는늑대들 전이수갤러리', '아쿠아플라넷 제주', '거문오름', '함덕해수욕장', '제주조천스위스마을', '드르쿰다in성산', '섭지코지', '제주돌문화공원']"
d_d001876,"['제주제트 중문점', '아쿠아플라넷 제주', '성산일출봉', '함덕해수욕장', '에코랜드테마파크', '목장카페 밭디', '섭지코지', '제주월드컵경기장', '유채꽃프라자', '붉은오름자연휴양림']"
d_d012489,"['한라산아래첫마을', '본태박물관', '무민랜드제주', '제주항공우주박물관', '카멜리아힐', '신화워터파크', '뽀로로앤타요테마파크 제주', '산방산탄산온천', '제주아트서커스', '포도뮤지엄']"
d_d001547,"['아쿠아플라넷 제주', '드르쿰다in성산', '성산일출봉', '섭지코지', '휘닉스제주 유민미술관', '김영갑갤러리두모악', '신양섭지해수욕장']"
d_d002247,"['9.81파크', '렛츠런파크제주', '해변산책', '아르떼뮤지엄 제주', '항파두리 항몽유적지', '한담몰', '귤귤스토어', '사진놀이터', '제주불빛정원']"
d_d011338,"['해변산책', '9.81파크', '한담몰', '아르떼뮤지엄 제주', '렛츠런파크제주', '제주불빛정원', '사진놀이터', '항파두리 항몽유적지', '귤귤스토어']"
d_d001903,"['한라산아래첫마을', '스누피가든', '산방산탄산온천', '목장카페 밭디', '포도뮤지엄', '세화해변', '본태박물관', '표선해수욕장', '김녕해수욕장', '비자림']"
d_d007481,"['상효원수목원', '원앙폭포', '돈내코유원지']"
